person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Barry Levinson;Amarcord;Oliver Twist;The Third Man;Spartacus;Salesman;I vitelloni;Shadows|Faces|A Woman Under the Influence|The Killing of a Chinese Bookie|Opening Night;Ace in the Hole;Breathless;Sweet Smell of Success;;;;;;
Christopher Radcliff and Lauren Wolkstein;Tampopo|Paris, Texas;Picnic at Hanging Rock|The Double Life of Véronique;Still Walking|Vagabond;A Brighter Summer Day|Stalker;High and Low|Personal Shopper;Hoop Dreams|Red Desert;Empire of Passion|Violence at Noon|Close-up;The Silence of the Lambs|Mulholland Dr.;Fat Girl|3 Women|McCabe & Mrs. Miller|Nashville;Rumble Fish|Through a Glass Darkly|Clean, Shaven;;;;;;
Ruben Östlund;The Tin Drum;The Great Beauty;Fat Girl;The Discreet Charm of the Bourgeoisie;PlayTime;The Bitter Tears of Petra von Kant;Bicycle Thieves;Barry Lyndon;Antichrist;Code Unknown;;;;;;
Jessica Morgan;A Room with a View;Broadcast News;The Royal Tenenbaums;Being John Malkovich;Hoop Dreams;The Silence of the Lambs;Metropolitan;The Breakfast Club;The Ice Storm;Election;;;;;;
Aaron Katz's Top 10 ;Equinox Flower;Fanny and Alexander: Television Version;The Last Days of Disco;Three Colors: Blue;Monsieur Hulot’s Holiday;Le samouraï;News from Home;The Bank Dick;The Killer;Summertime;;;;;;
Jonas Carpignano;The Leopard;Paisan;Nashville;Faces;Army of Shadows|The Battle of Algiers ;La strada;The Secret of the Grain|Fish Tank;Mamma Roma;Salvatore Giuliano;Do the Right Thing;;;;;;
Sloane Crosley;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;Fanny and Alexander: Theatrical Version;The Red Shoes;Do the Right Thing;Broadcast News|Tootsie|Sweet Smell of Success;Dazed and Confused|Metropolitan|Barcelona|Kicking and Screaming;Harold and Maude;A Woman Under the Influence;Days of Heaven;This Is Spinal Tap;;;;;;
Ari Aster;Persona|Cries and Whispers|Fanny and Alexander: Theatrical Version;Ugetsu|Sansho the Bailiff|The Life of Oharu;The Age of Innocence|45 Years;8½;Topsy-Turvy|Naked;The Red Shoes|The Life and Death of Colonel Blimp|A Matter of Life and Death|Black Narcissus|I Know Where I’m Going!;Yi Yi|A Brighter Summer Day;The Piano Teacher;Cul-de-sac|Repulsion|Rosemary’s Baby|Macbeth;Pather Panchali|Aparajito|Apur Sansar;;;;;;
David and Nathan Zellner;The Passion of Joan of Arc|Time Bandits;Watership Down|Fishing with John;RoboCop|Throne of Blood;Onibaba|Two-Lane Blacktop;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles|Drive, He Said;Life Is Sweet|Shock Corridor;Pather Panchali|Nashville;Burden of Dreams|All That Jazz;Salò, or The 120 Days of Sodom|The Black Stallion;Kes|Dead Man;;;;;;
Alan Rudolph;Wild Strawberries;La dolce vita;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;Children of Paradise;The Discreet Charm of the Bourgeoisie;Rashomon;Monsieur Hulot’s Holiday;McCabe & Mrs. Miller;Day for Night;The Spirit of the Beehive;;;;;;
Jeremiah Zagar;Ratcatcher;Kes;Pan’s Labyrinth;The Tin Drum;Mona Lisa;Time Bandits;Crumb;The Cranes Are Flying;Hopscotch;Y tu mamá también ;;;;;;
Hari Nef;Mulholland Dr.;Tiny Furniture;Clouds of Sils Maria;Fish Tank;Claire’s Knee;Safe;Twin Peaks: Fire Walk with Me;The Bitter Tears of Petra von Kant;House;Salò, or The 120 Days of Sodom;;;;;;
John Grant;Wings of Desire;Rosemary’s Baby;Scanners;Ali: Fear Eats the Soul;This Is Spinal Tap;Harold and Maude;Cronos;Tootsie;Carnival of Souls;Europa;;;;;;
Steven Yeun;Good Morning|Tokyo Story;Still Walking;Secret Sunshine;Chungking Express;Fantastic Mr. Fox;The Princess Bride;Punch-Drunk Love;Mulholland Dr.|Being John Malkovich;RoboCop;Hoop Dreams;;;;;;
Ali Abbasi;Salò, or The 120 Days of Sodom;Great Expectations;Andrei Rublev;Hiroshima mon amour;La strada;Naked Lunch;Viridiana|Belle de jour;Close-up;Mulholland Dr.;The Color of Pomegranates;;;;;;
Alice Rohrwacher;The Exterminating Angel|Viridiana;Stromboli;Breathless;Arabian Nights;Le Havre;Vagabond;A Woman Under the Influence;La Ciénaga;The Tree of Wooden Clogs;An Angel at My Table;;;;;;
\u200bJon Dieringer;Smithereens;Canoa: A Shameful Memory;Repo Man;Eating Raoul;Eraserhead;The Night of the Hunter;El Sur;Lone Wolf and Cub;The Ascent;Eight Hours Don’t Make a Day;;;;;;
Paweł Pawlikowski;A Hard Day’s Night;Some Like It Hot;Ashes and Diamonds;Badlands|Days of Heaven;Loves of a Blonde;Vivre sa vie|Pierrot le fou;À nos amours;Ivan’s Childhood;La dolce vita|8½|Amarcord;Mulholland Dr.;;;;;;
Karyn Kusama;A Woman Under the Influence|Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;Rosemary’s Baby|The Innocents;Fanny and Alexander: Television Version|Safe;High and Low|Blow Out;Nashville|All That Jazz;Broadcast News|Something Wild;Barry Lyndon|Female Trouble;Bad Timing|Naked;Yi Yi|Intentions of Murder;The King of Marvin Gardens|An Angel at My Table;;;;;;
Raúl Castillo;A Woman Under the Influence;Y tu mamá también ;Weekend;Drunken Angel;Ratcatcher;Do the Right Thing;In the Mood for Love;Night of the Living Dead;My Own Private Idaho;The Discreet Charm of the Bourgeoisie;;;;;;
Christophe Honoré;Contempt;The Magnificent Ambersons;Chungking Express;Lola;Jules and Jim;Salò, or The 120 Days of Sodom;The Awful Truth;My Own Private Idaho;Mystery Train;Yi Yi;;;;;;
Lev Kalman;Blood for Dracula;Female Trouble;The Killing of a Chinese Bookie;Island of Lost Souls;Unfaithfully Yours;Science Is Fiction: 23 Films by Jean Painlevé;The American Friend;Twin Peaks: Fire Walk with Me;Barcelona;Suzanne’s Career;;;;;;
Michael Imperioli;A Woman Under the Influence;Opening Night;The Killing of a Chinese Bookie;The In-Laws;Fox and His Friends;Mamma Roma;Do the Right Thing;Midnight Cowboy;Brazil;Rififi;;;;;;
Beak>;Smithereens;Stalker;Videodrome;Fanny and Alexander: Theatrical Version;A Taste of Honey;Don’t Look Now;Time Bandits;Watership Down;12 Angry Men;The Long Good Friday;;;;;;
David Hudson;A Woman Under the Influence;M;Contempt;Berlin Alexanderplatz;Yi Yi;Burden of Dreams;La Jetée;Dead Ringers;The Seventh Seal;My Night at Maud’s;;;;;;
Brian Raftery;Repo Man;The Asphalt Jungle;All That Jazz|Head;The Third Man;Smithereens;Do the Right Thing;The American Friend;Election|Being John Malkovich;Hoop Dreams;Mikey and Nicky;;;;;;
Jeremy Workman;Letter Never Sent;Lola Montès;The Thin Blue Line;Blast of Silence;The Battle of Algiers ;The Night of the Hunter;Revanche;Green for Danger;Macbeth;Koyaanisqatsi;;;;;;
Dennis Lim;Chronicle of a Summer|Close-up;Love Streams|Punch-Drunk Love;A Hollis Frampton Odyssey|News from Home;The Exterminating Angel|La Ciénaga;Death by Hanging|Ali: Fear Eats the Soul;Late Spring|Colossal Youth;Bigger Than Life|Blue Velvet;Red Desert|Safe;Symbiopsychotaxiplasm: Two Takes by William Greaves|Schizopolis;Wanda|Vagabond;;;;;;
Carlos Reygadas;RoboCop;The Discreet Charm of the Bourgeoisie;Mon oncle;Gertrud;À nos amours;Army of Shadows|Le silence de la mer;The Fire Within;Five Easy Pieces;Blow Out;La vie de Jésus|L’humanité;;;;;;
Jack Reynor;Ugetsu;Kwaidan;Empire of Passion;Peeping Tom;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;Cul-de-sac;Hour of the Wolf;Women in Love;Stalker;The Vanishing;;;;;;
Kasi Lemmons;All About Eve;All That Jazz;Black Orpheus;Don’t Look Now;Do the Right Thing;Fish Tank;The Graduate;Harold and Maude;Rosemary’s Baby;Z;;;;;;
Karim Aïnouz;Wanda;News from Home|A Woman Under the Influence;The Piano Teacher;Ali: Fear Eats the Soul;Written on the Wind|All That Heaven Allows;Andrei Rublev;The Battle of Algiers ;Badlands;Beyond the Valley of the Dolls;Arabian Nights;;;;;;
Rian Johnson;8½;Brazil;F for Fake;Amarcord;Fanny and Alexander: Television Version;Monsieur Hulot’s Holiday;Scenes from a Marriage;The Third Man;The Bad Sleep Well;Down by Law;;;;;;
Kelly Reichardt;Black Girl;Mouchette;Pather Panchali;PlayTime;A Poem Is a Naked Person;Safe;A Taste of Honey;Ugetsu;Walkabout;Wanda;;;;;;
Rashaad Ernesto Green;The Red Balloon;Do the Right Thing;The Battle of Algiers ;Black Orpheus;Pather Panchali;Tokyo Story;Seven Samurai;Midnight Cowboy;A Man Escaped;Fish Tank;;;;;;
Kleber Mendonça Filho;Bigger Than Life;La Ciénaga;Heaven’s Gate;One-Eyed Jacks;Hard Boiled;Marketa Lazarová;Two-Lane Blacktop;Punch-Drunk Love;Secret Sunshine;Limite;;;;;;
Sofia Bohdanowicz and Deragh Campbell;Stromboli;Early Summer;Opening Night;Touki bouki;Certified Copy;Le bonheur;Pierrot le fou;Sans Soleil;Les rendez-vous d’Anna;La collectionneuse;;;;;;
Josephine Decker;Persona;Band of Outsiders|Breaking the Waves;Being John Malkovich;Je tu il elle|Portrait of a Lady on Fire;Harold and Maude;La promesse;Me and You and Everyone We Know|Fish Tank;Pan’s Labyrinth;Blue Velvet|Contempt;The Last Temptation of Christ|Jules and Jim;;;;;;
The Ross Brothers’ Top 10;Touki bouki;Nashville;Les Blank: Always for Pleasure;Lions Love (. . . and Lies);Dekalog;Wanda;L’eclisse;Husbands|Scorsese Shorts;Amarcord;Paris, Texas|My Own Private Idaho;;;;;;
Amy Seimetz;Wanda;The Umbrellas of Cherbourg;Purple Noon;Vagabond;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;Paris, Texas|The American Friend;Fantastic Planet;The Man Who Fell to Earth|Walkabout;Alphaville|Belle de jour;Badlands|Two-Lane Blacktop;;;;;;
Isabel Sandoval;La Jetée;Woman in the Dunes;In the Mood for Love;Klute;Insiang;Hiroshima mon amour;Punch-Drunk Love;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;The Cranes Are Flying;The Big City;;;;;;
Pietro Marcello;L’Atalante;Bicycle Thieves;Paisan;Mon oncle;The Apu Trilogy;Cléo from 5 to 7;The Umbrellas of Cherbourg;The Tree of Wooden Clogs;The Ascent;Come and See;;;;;;
Carrie Coon;Naked;Black Girl;An Unmarried Woman;Dekalog;The Cremator;Badlands;Chungking Express;Merry Christmas Mr. Lawrence;Portrait of a Lady on Fire;A Woman Under the Influence;;;;;;
Frank Kozik;General Idi Amin Dada: A Self-Portrait;The Last Wave;The Life Aquatic with Steve Zissou;The Naked Kiss;Oliver Twist;Time Bandits;Walkabout;Brazil;Burden of Dreams;Lord of the Flies;;;;;;
Lili Horvát;The 400 Blows;Fanny and Alexander: Television Version;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;The Marriage of Maria Braun;Mulholland Dr.;The Man Who Fell to Earth;Love Streams;His Girl Friday;Paris, Texas;L’avventura;;;;;;
Azazel Jacobs;La vie de bohème;Trouble in Paradise;PlayTime;La dolce vita;Shock Corridor;Being There|Harold and Maude;The Breakfast Club;The Exterminating Angel|The Discreet Charm of the Bourgeoisie;The Night of the Hunter;By Brakhage: An Anthology, Volumes One and Two;;;;;;
Rachel Kushner;3 Women;Wanda;Two-Lane Blacktop;Downhill Racer;Red Desert;Black Girl;Hiroshima mon amour;Léon Morin, Priest;Teorema;Mishima: A Life in Four Chapters;;;;;;
Dustin O’Halloran;Amarcord;Contempt;Barry Lyndon;Belle de jour;La notte;Paris, Texas;In the Mood for Love;Mulholland Dr.;Stalker;Betty Blue;;;;;;
Edson Oda;City Lights;Rashomon;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;The Seventh Seal;Wings of Desire;RoboCop;Being John Malkovich;Hunger;Police Story 2;The Virgin Suicides;;;;;;
Neil LaBute;Grey Gardens|Salesman;Loves of a Blonde;Scenes from a Marriage;A Story of Floating Weeds|Floating Weeds;I vitelloni;Eyes Without a Face;Mamma Roma;Contempt;Black Narcissus;Kind Hearts and Coronets;;;;;;
Dash Shaw;Tie Me Up! Tie Me Down!;Céline and Julie Go Boating;Godzilla vs. Hedorah;Every Man for Himself;Contempt;Crash;Fantastic Planet;Eclipse Series 19: Chantal Akerman in the Seventies;The Complete Jacques Tati;Brand upon the Brain!;;;;;;
Wendell B. Harris Jr.;The Emperor Jones;Citizen Kane;The Ruling Class;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;A Raisin in the Sun;Being There;Seven Samurai;Children of Paradise;The Third Man;Nightmare Alley;;;;;;
Pablo Larraín;Barry Lyndon;A Woman Under the Influence;Beau travail;Belle de jour;Elevator to the Gallows;Paris, Texas;Persona;Blow-Up;Close-up;Teorema;;;;;;
Ryusuke Hamaguchi;Stage and Spectacle: Three Films by Jean Renoir;Eclipse Series 34: Jean Grémillon During the Occupation;Casque d’or;Stromboli;All That Heaven Allows;Women of the Night;Eclipse Series 26: Silent Naruse;3 Silent Classics by Josef von Sternberg;Holiday;Flowers of Shanghai;;;;;;
Sebastian Meise;Breaking the Waves;Happy Together;Carmen;Naked;Mulholland Dr.;By Brakhage: An Anthology, Volumes One and Two;Down by Law;Blow-Up;The Piano Teacher;Salò, or The 120 Days of Sodom;;;;;;
Blerta Basholli;Ivan’s Childhood;Rosetta;The 400 Blows;Kes;In the Mood for Love;Breaking the Waves;All About My Mother;Eraserhead;4 Months, 3 Weeks and 2 Days;Paris, Texas;;;;;;
Joel Potrykus;Stranger Than Paradise;Funny Games;If....;Beastie Boys Video Anthology;The Phantom of Liberty;RoboCop;Beyond the Valley of the Dolls;Ran;How to Get Ahead in Advertising;Slacker;;;;;;
Christa Lang-Fuller;Children of Paradise;The Rules of the Game;That Obscure Object of Desire;Pickpocket;The Tin Drum;The Marriage of Maria Braun;Alphaville;Contempt;M;The Naked Kiss|Shock Corridor;;;;;;
Dennis Lehane;Mona Lisa;Picnic at Hanging Rock;The Rules of the Game;The Lady Eve;Insomnia;Night and the City;M;The Wages of Fear;Do the Right Thing;Rushmore|The Royal Tenenbaums;;;;;;
Heidi Bivens;Badlands;The Double Life of Véronique;Blue Velvet;Barry Lyndon;The Gleaners and I;La haine;Brazil;The Heiress;McCabe & Mrs. Miller;My Own Private Idaho;;;;;;
Richard Linklater;Andrei Rublev;Au hasard Balthazar;The Flowers of St. Francis;Day of Wrath;Tokyo Story;The Last Temptation of Christ;Unfaithfully Yours;Fanny and Alexander: Television Version;Pickpocket;I Know Where I’m Going!;;;;;;
John Lurie;The Killing of a Chinese Bookie;The Last Temptation of Christ;Naked;Burden of Dreams;Ali: Fear Eats the Soul;Fishing with John;The Naked Kiss;Opening Night;The Pornographers;The Wages of Fear;;;;;;
Kevin Macdonald;Gimme Shelter;I Know Where I’m Going!;Murmur of the Heart;The Lady Eve;The Wages of Fear;The Complete Mr. Arkadin;Walkabout;Fanny and Alexander: Theatrical Version;The Battle of Algiers ;I vitelloni;;;;;;
Guy Maddin;Forbidden Games;Day of Wrath;Umberto D.;Grey Gardens;Pandora’s Box;I vitelloni;Ivan the Terrible, Part II;Black Narcissus;Written on the Wind;Häxan;;;;;;
David Markey;Carnival of Souls;Slacker;Monterey Pop;Grey Gardens;3 Women;Brazil;Shadows;This Is Spinal Tap;Fear and Loathing in Las Vegas;All That Heaven Allows;;;;;;
Patton Oswalt;Hard Boiled;George Washington;Amarcord;The Baron of Arizona;Blast of Silence;The Life and Death of Colonel Blimp;Gimme Shelter;The Honeymoon Killers;Slacker;The Spirit of the Beehive;;;;;;
D. A. Pennebaker;The Lady Vanishes;Nanook of the North;The Red Shoes;Le million;I Know Where I’m Going!;Children of Paradise;À nous la liberté;The Horse’s Mouth;The Life and Death of Colonel Blimp;La strada;Jules and Jim;Masculin féminin;;;;
Bill Plympton;This Is Spinal Tap;Ace in the Hole;Brazil;The Third Man;The Horse’s Mouth;The Wages of Fear;The Bank Dick;Beauty and the Beast;Man Bites Dog;Mon oncle;;;;;;
Nicolas Roeg;L’avventura;The Discreet Charm of the Bourgeoisie;Beauty and the Beast;Wild Strawberries;8½;Children of Paradise;Schizopolis;Contempt;Straw Dogs;The Leopard;;;;;;
Tom Schnabel;Trouble in Paradise;La strada;Children of Paradise;Monsieur Hulot’s Holiday;The Discreet Charm of the Bourgeoisie;The Wages of Fear;Woman in the Dunes;Tokyo Olympiad;Unfaithfully Yours;And God Created Woman;;;;;;
David Schwartz;The Rules of the Game;Late Spring;Videodrome;By Brakhage: An Anthology, Volume One;All That Heaven Allows;The Bank Dick;Trouble in Paradise;My Night at Maud’s;The Royal Tenenbaums;Cléo from 5 to 7;;;;;;
Leanne Shapton;Withnail and I;The Rules of the Game;A Night to Remember;Naked;L’avventura;Masculin féminin;Mamma Roma;3 Women;Rebecca;My Life as a Dog;;;;;;
Paul Schrader;The Spirit of the Beehive;Wings;Death of a Cyclist;The Face of Another;The Furies;When a Woman Ascends the Stairs;Mala Noche;Berlin Alexanderplatz;Hands over the City;Street of Shame;;;;;;
Robin Wood;Sansho the Bailiff;PlayTime;The Complete Mr. Arkadin;Seven Samurai;Pickup on South Street;The Lady Eve;Tokyo Story;I Know Where I’m Going!;Band of Outsiders;Notorious;;;;;;
Adam Yauch;Seven Samurai;Walkabout;Nights of Cabiria;Yojimbo;Sanjuro;Rushmore;And God Created Woman;The Harder They Come;Rashomon;The Life Aquatic with Steve Zissou;;;;;;
Ricky Jay;The 39 Steps;Children of Paradise;F for Fake;Seven Samurai;The Lady Eve;Secret Honor;Oliver Twist;Samurai I: Musashi Miyamoto;I Know Where I’m Going!;Night and the City;;;;;;
Chris Hegedus;8½;Juliet of the Spirits;Contempt;Fanny and Alexander: Theatrical Version;The Battle of Algiers ;Sullivan’s Travels;I Know Where I’m Going!;Jules and Jim;Monterey Pop;Salesman;;;;;;
Dave Filipi;Army of Shadows;Au hasard Balthazar;Dazed and Confused;Fiend Without a Face;The Flowers of St. Francis;Ivan’s Childhood;La Jetée;Mon oncle;Robinson Crusoe on Mars;The Unbearable Lightness of Being;;;;;;
Monte Hellman;The Spirit of the Beehive;The Double Life of Véronique;Notorious;Le samouraï;The Lady Eve;The Fallen Idol|The Third Man;Children of Paradise|Port of Shadows;Grand Illusion;Scenes from a Marriage;8½|Amarcord|La strada|Nights of Cabiria;;;;;;
Paul Morrissey;Richard III ;The Third Man;The Leopard;The Thief of Bagdad;The White Sheik;The Scarlet Empress;The Earrings of Madame de . . . ;Summertime;Under the Volcano;The Bank Dick;;;;;;
James Franco;The Spirit of the Beehive;Murmur of the Heart|Lacombe, Lucien;My Own Private Idaho|Mala Noche;A Woman Under the Influence;Opening Night;The Battle of Algiers ;Salesman|Gimme Shelter;L’eclisse|L’avventura;Il posto;3 Women|Secret Honor;;;;;;
Jaime Hernandez;Bicycle Thieves;Black Orpheus;Equinox;My Life as a Dog;Nights of Cabiria;Pickup on South Street;Seven Samurai;Stranger Than Paradise;The Thief of Bagdad;The Wages of Fear;;;;;;
Götz Spielmann;8½;Andrei Rublev;Floating Weeds;L’avventura;Before the Rain;A Woman Under the Influence;Ashes and Diamonds;An Angel at My Table;Le samouraï;Sans Soleil;;;;;;
Joe Swanberg;Hoop Dreams;By Brakhage: An Anthology, Volume One;The Red Shoes;Gimme Shelter;The Harder They Come;Two-Lane Blacktop;Straw Dogs;À nos amours;The Double Life of Véronique;Fishing with John;;;;;;
Al Reinert;Slacker;Sid & Nancy;Rififi;Black Orpheus;Brazil;The Lady Eve;Days of Heaven;Solaris;Robinson Crusoe on Mars;Monterey Pop;;;;;;
Nathan Lee;Videodrome;Dead Ringers;Naked Lunch;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;By Brakhage: An Anthology, Volume One;M;Alphaville;RoboCop;The Earrings of Madame de . . . ;Science Is Fiction: 23 Films by Jean Painlevé;;;;;;
Whit Stillman;The 400 Blows;The Lady Vanishes;The Harder They Come;The Seventh Seal;The Lady Eve;Big Deal on Madonna Street;My Man Godfrey;Black Orpheus;Notorious;Children of Paradise;;;;;;
Caitlin Kuhwald;Monterey Pop;Gimme Shelter;The Seventh Seal;Yojimbo;Seven Samurai;In the Mood for Love;The Third Man;The Royal Tenenbaums;Charade;The Passion of Joan of Arc;;;;;;
Sonic Youth;Floating Weeds;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;Ali: Fear Eats the Soul;Masculin féminin;Double Suicide;The Vanishing;Mamma Roma;Black Orpheus;Ace in the Hole;Night on Earth;Fat Girl;Days of Heaven;;;;
Joe Mantegna;Brute Force;The Naked Prey;The Friends of Eddie Coyle;The Golden Age of Television;Juliet of the Spirits;The Ruling Class;Spartacus;Rififi;The Last Emperor;House of Games;;;;;;
Michael Atkinson;The Passion of Joan of Arc;Two-Lane Blacktop;Pierrot le fou;Late Spring;The Exterminating Angel|The Discreet Charm of the Bourgeoisie;Dead Ringers;My Own Private Idaho;Taste of Cherry;The Rules of the Game;À nous la liberté;;;;;;
Pedro Costa;The River;PlayTime;Late Spring;When a Woman Ascends the Stairs;The Exterminating Angel;Heaven Can Wait;Notorious;Young Mr. Lincoln;Vampyr;Diary of a Country Priest;;;;;;
Seth;Last Year at Marienbad;Paddle to the Sea;Tokyo Story;Metropolitan;Nights of Cabiria;The Vanishing;The Browning Version;Equinox;Winter Light;Tunes of Glory;;;;;;
Iron and Wine;Brazil;Yojimbo;The Third Man;Down by Law;By Brakhage: An Anthology, Volume One;La strada;The Battle of Algiers ;A Woman Under the Influence;Burden of Dreams;Naked;;;;;;
Johnnie To;Seven Samurai;High and Low;Straw Dogs;Harakiri;Le samouraï;Le cercle rouge;In the Mood for Love;Brazil;The Last Emperor;Yojimbo;;;;;;
Frederick Elmes;The Virgin Spring;Juliet of the Spirits;Repulsion;By Brakhage: An Anthology, Volume One;Murmur of the Heart;Claire’s Knee;Carnival of Souls;PlayTime;Picnic at Hanging Rock;In the Mood for Love;;;;;;
