person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Chuck Klosterman;Slacker;This Is Spinal Tap;F for Fake;Hoop Dreams;Kicking and Screaming;House of Games;Gimme Shelter;Being John Malkovich;The Last Days of Disco;Rushmore;;;;;;
Miguel Arteta ;Juliet of the Spirits;The Docks of New York;French Cancan;Something Wild;Shock Corridor;Dodes’ka-den;Magnificent Obsession;Ali: Fear Eats the Soul;Breathless;Do the Right Thing;Trouble in Paradise;;;;;
Brie Larson ;A Woman Is a Woman;The Exterminating Angel;The Game;Opening Night;Metropolitan;I Am Curious—Yellow;Naked;Red Desert;Scenes from a Marriage;The Third Man;;;;;;
Andrew Haigh ;L’avventura;Five Easy Pieces;Black Narcissus;Fanny and Alexander: Theatrical Version;Cries and Whispers;Au revoir les enfants;Ratcatcher;The Last Picture Show;Cléo from 5 to 7;The Man Who Fell to Earth;;;;;;
Franc Roddam;The 400 Blows;Bicycle Thieves;The Killing;Seduced and Abandoned;Seven Samurai;The Spirit of the Beehive;Sweet Smell of Success;The Third Man;The Wages of Fear;Wings of Desire;;;;;;
William Friedkin ;The Night of the Hunter;Night and Fog;Last Year at Marienbad;Diabolique;Ordet;The Red Shoes;Paths of Glory;Le samouraï;Vengeance Is Mine;Belle de jour;;;;;;
Paul Feig ;8½;Harold and Maude;Loves of a Blonde;Mafioso;Naked;Nights of Cabiria;Ran;Koyaanisqatsi;Stranger Than Paradise;This Is Spinal Tap;;;;;;
Flying Lotus;Being John Malkovich;Fear and Loathing in Las Vegas;Do the Right Thing;The Life Aquatic with Steve Zissou;8½;The Seventh Seal;Man Bites Dog;Brazil;By Brakhage: An Anthology, Volume One;Beastie Boys Video Anthology;;;;;;
Christopher Nolan;The Hit;12 Angry Men;The Thin Red Line;The Testament of Dr. Mabuse;Bad Timing;Merry Christmas Mr. Lawrence;For All Mankind;Koyaanisqatsi;The Complete Mr. Arkadin;;;;;;;
Andrew Weil;Beauty and the Beast;Brazil;Crumb;House of Games;Mishima: A Life in Four Chapters;Nights of Cabiria;Paths of Glory;Rashomon;This Is Spinal Tap;The Wages of Fear;;;;;;
