person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Phil Rosenthal;François Truffaut;Les Blank;Hal Ashby;Preston Sturges;Martin Scorsese;Charles Laughton;Alfred Hitchcock;Albert Lamorisse;Preston Sturges;Alexander Mackendrick;;;;;;
Chuck Klosterman;Richard Linklater;Rob Reiner;Orson Welles;Steve James;Noah Baumbach;David Mamet;David Maysles, Albert Maysles, and Charlotte Zwerin;Spike Jonze;Whit Stillman;Wes Anderson;;;;;;
Miguel Arteta ;Federico Fellini;Josef von Sternberg;Jean Renoir;Jonathan Demme;Samuel Fuller;Akira Kurosawa;Douglas Sirk;Rainer Werner Fassbinder;Jean-Luc Godard;Spike Lee;Ernst Lubitsch;;;;;
Brie Larson ;Jean-Luc Godard;Luis Buñuel;David Fincher;John Cassavetes;Whit Stillman;Vilgot Sjöman;Mike Leigh;Michelangelo Antonioni;Ingmar Bergman;Carol Reed;;;;;;
Andrew Haigh ;Michelangelo Antonioni;Bob Rafelson;Michael Powell and Emeric Pressburger;Ingmar Bergman;Ingmar Bergman;Louis Malle;Lynne Ramsay;Peter Bogdanovich;Agnès Varda;Nicolas Roeg;;;;;;
Franc Roddam;François Truffaut;Vittorio De Sica;Stanley Kubrick;Pietro Germi;Akira Kurosawa;Víctor Erice;Alexander Mackendrick;Carol Reed;Henri-Georges Clouzot;Wim Wenders;;;;;;
William Friedkin ;Charles Laughton;Alain Resnais;Alain Resnais;Henri-Georges Clouzot;Carl Th. Dreyer;Michael Powell and Emeric Pressburger;Stanley Kubrick;Jean-Pierre Melville;Shohei Imamura;Luis Buñuel;;;;;;
Paul Feig ;Federico Fellini;Hal Ashby;Miloš Forman;Alberto Lattuada;Mike Leigh;Federico Fellini;Akira Kurosawa;Godfrey Reggio;Jim Jarmusch;Rob Reiner;;;;;;
Flying Lotus;Spike Jonze;Terry Gilliam;Spike Lee;Wes Anderson;Federico Fellini;Ingmar Bergman;Rémy Belvaux, André Bonzel, and Benoit Poelvoorde;Terry Gilliam;Stan Brakhage;Various;;;;;;
Christopher Nolan;Stephen Frears;Sidney Lumet;Terrence Malick;Fritz Lang;Nicolas Roeg;Nagisa Oshima;Al Reinert;Godfrey Reggio;Orson Welles;;;;;;;
Andrew Weil;Jean Cocteau;Terry Gilliam;Terry Zwigoff;David Mamet;Paul Schrader;Federico Fellini;Stanley Kubrick;Akira Kurosawa;Rob Reiner;Henri-Georges Clouzot;;;;;;
Andrew Loog Oldham;Alexander Mackendrick;Jean-Pierre Melville;Jean-Pierre Melville;Claude Chabrol;Jean-Luc Godard;Jacques Becker;Jean-Pierre Melville;Gillo Pontecorvo;Mathieu Kassovitz;David Lean;;;;;;
Nicholas Stoller;Jean-Luc Godard;Wes Anderson;James L. Brooks;Terry Gilliam;Terry Jones;Ang Lee;Federico Fellini;Ingmar Bergman;Stanley Kubrick;Spike Jonze;Rob Reiner;;;;;
Haskell Wexler;Alfred Hitchcock;François Truffaut;Gillo Pontecorvo;Jean-Luc Godard;Marcel Carné;Mikhail Kalatozov;Jean-Pierre Melville;Louis Malle;Jean-Luc Godard;Roberto Rossellini;;;;;;
Lena Dunham ;Andrea Arnold;Terrence Malick;James L. Brooks;Andrew Haigh;Agnès Varda|Agnès Varda|Agnès Varda|Agnès Varda;Rainer Werner Fassbinder|Rainer Werner Fassbinder;Peter Weir;Sam Peckinpah|David Cronenberg;Ingmar Bergman;Chris Hegedus and D. A. Pennebaker;;;;;;
Roger Corman;Michelangelo Antonioni;Vittorio De Sica;Luis Buñuel;Federico Fellini;Sergei Eisenstein;Elia Kazan;Stanley Kubrick;Akira Kurosawa;Jean Renoir;Ingmar Bergman;;;;;;
Zola Jesus;Andrei Tarkovsky;Hiroshi Teshigahara;Ingmar Bergman;Kaneto Shindo;Mikhail Kalatozov;Larisa Shepitko;Rémy Belvaux, André Bonzel, and Benoit Poelvoorde;David Lynch;Nobuo Nakagawa;Masaki Kobayashi;;;;;;
Kazu Kibuishi;Akira Kurosawa|Akira Kurosawa|Akira Kurosawa;Kenji Mizoguchi;Jean Vigo;Jim Jarmusch;Krzysztof Kieślowski;Edward Yang;Wes Anderson;Chris Marker|Chris Marker;Jean Renoir;Akira Kurosawa;;;;;;
Donald Fagen;Federico Fellini;Federico Fellini;Gregory La Cava;John Schlesinger;Ingmar Bergman;Carl Th. Dreyer;Elia Kazan;Carol Reed;Mike Leigh;Bruce Robinson;;;;;;
Keegan McHargue;Jean Vigo;Josef von Sternberg;Rainer Werner Fassbinder;Dušan Makavejev;Luis Buñuel;Hiroshi Teshigahara;Derek Jarman;Terry Zwigoff;Louis Malle;Paul Bartel;;;;;;
Daniel Lopatin;Andrei Tarkovsky|Andrei Tarkovsky;Ingmar Bergman;Charles Kiselyak;David Cronenberg;Mathieu Kassovitz;Jonathan Demme|George Sluizer;Paul Schrader;Steve James;Paul Verhoeven;John Lurie;;;;;;
Jonathan Caouette;Robert Altman;Louis Malle;Nicolas Roeg;Herk Harvey;Terrence Malick;David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer;Hal Ashby;Gus Van Sant;Roman Polanski;John Cassavetes;;;;;;
Kim Newman;Michael Powell and Emeric Pressburger;John Frankenheimer;Charles Laughton;Georges Franju;Roman Polanski;Víctor Erice;Ernest B. Schoedsack and Irving Pichel;Brian De Palma;Hiroshi Matsuno;Lewis Allen;;;;;;
Geoff Dyer;Al Reinert;David Lean;Nicolas Roeg;Louis Malle;David Maysles, Albert Maysles, and Charlotte Zwerin;Terrence Malick;Liliana Cavani;Godfrey Reggio;Michelangelo Antonioni;Yasujiro Ozu;;;;;;
Bong Joon-ho;François Truffaut;Ingmar Bergman;Keisuke Kinoshita;William Cameron Menzies;Max Ophuls;Robert Altman;Mike Leigh;Nicolas Roeg;Wes Anderson;Spike Jonze;;;;;;
Stella Mozgawa;Terry Gilliam;Lars von Trier;Jacques Tati;Andrei Tarkovsky;Roman Polanski;Federico Fellini;David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer|Albert Maysles and David Maysles;Paul Schrader;Wim Wenders;Krzysztof Kieślowski;;;;;;
Martin Scorsese;Roberto Rossellini;Michael Powell and Emeric Pressburger;Jean Renoir;Kenji Mizoguchi;Andrzej Wajda;Michelangelo Antonioni;Francesco Rosi;Federico Fellini;Jean-Luc Godard;Luchino Visconti;;;;;;
Tim Forbes;Jean Vigo;Terrence Malick;Luis Buñuel;Jiří Menzel;Luchino Visconti|Nagisa Oshima;Dušan Makavejev;Eric Rohmer;Robert Bresson;Roberto Rossellini;;;;;;;
James Schamus;Jean Renoir;Carl Th. Dreyer;Ingmar Bergman;Yasujiro Ozu;Vittorio De Sica;Larisa Shepitko;Chris Marker;Chantal Akerman;Abbas Kiarostami;Brian De Palma;;;;;;
Christopher Hobbs;Terry Gilliam;Marcel Carné;Luchino Visconti;Ingmar Bergman;Jacques Tati;David Lean;Jean Cocteau;Carl Th. Dreyer;Michael Powell and Emeric Pressburger;Terence Davies;;;;;;
K. K. Barrett;Charles Laughton;John Huston;Lars von Trier;William Klein;Koreyoshi Kurahara;Michelangelo Antonioni;G. W. Pabst;Monte Hellman;Paul Schrader;Lynne Ramsay|Věra Chytilová|John Frankenheimer|Gus Van Sant|Wes Anderson|Mike Leigh|Víctor Erice;;;;;;
Mary Ellen Mark;Federico Fellini;Federico Fellini;Federico Fellini;Robert Bresson;Vittorio De Sica;Louis Malle;Akira Kurosawa;Miloš Forman;Yasujiro Ozu;Roman Polanski;;;;;;
Hossein Amini;Michelangelo Antonioni;Jean-Luc Godard;Louis Malle;Federico Fellini;Jean-Pierre Melville;Michael Mann;Roman Polanski;Carol Reed;Akira Kurosawa;François Truffaut;;;;;;
Austin Garrick;Nobuhiko Obayashi;Akira Kurosawa;Jean-Luc Godard;Richard Linklater;Brian De Palma|Michael Mann;Alfred Hitchcock|Fritz Lang;Andrea Arnold;Abdellatif Kechiche;Don Siegel;David Cronenberg|Alex Cox;;;;;;
Will Oldham;John Cassavetes;Robert Bresson;Terrence Malick;Les Blank;Wong Kar Wai;Bertrand Tavernier;Bob Rafelson;Perry Henzell;Hal Ashby;Yasujiro Ozu;Ahmed El Maanouni;Mike Leigh;Andrei Tarkovsky;Luis Buñuel;Nicolas Roeg;
Don Hertzfeldt;Hal Ashby;Terry Jones;Charles Chaplin|Charles Chaplin;Orson Welles;Luis Buñuel;Godfrey Reggio;David Maysles, Albert Maysles, and Charlotte Zwerin;David Lynch;Paul Verhoeven;Paul Fejos;Stan Brakhage|Stan Brakhage;;;;;
Alex Ross Perry;François Truffaut|François Truffaut|François Truffaut|François Truffaut;Terry Gilliam;Jim Jarmusch;Bruce Robinson;Wes Anderson;Carol Reed;Paul Verhoeven;John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes;David Cronenberg;Jean-Luc Godard;;;;;;
Robert Greene;John Cassavetes;Chantal Akerman;Douglas Sirk;David Maysles, Albert Maysles, and Charlotte Zwerin;Abbas Kiarostami;Jean-Luc Godard;Allan King;Robert Altman;Dušan Makavejev;Kon Ichikawa;;;;;;
