person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Alison Maclean;Rainer Werner Fassbinder;Luis Buñuel;Abbas Kiarostami;Jean-Pierre Melville;Spike Lee;Catherine Breillat;Chris Marker;John Cassavetes;David Lynch;Todd Haynes;;;;;;
Joshua Z Weinstein;Satyajit Ray|Satyajit Ray|Satyajit Ray;Milcho Manchevski;Vittorio De Sica;Spike Lee;Joel Coen and Ethan Coen;Jean-Pierre Dardenne and Luc Dardenne;John Cassavetes;Robert Altman;Jim Jarmusch;David Maysles, Albert Maysles, and Charlotte Zwerin;;;;;;
Dustin Guy Defa;Steve James;Abbas Kiarostami;David Lynch;Stanley Kubrick;Terry Zwigoff;James L. Brooks;Mike Leigh;Allan King;Kirsten Johnson;Douglas Sirk;;;;;;
Janicza Bravo;Bob Fosse;Rainer Werner Fassbinder|Rainer Werner Fassbinder;Ousmane Sembène;Spike Lee;Nicolas Roeg;Terry Gilliam|Federico Fellini;Eric Rohmer|Eric Rohmer;Agnès Varda;John Cassavetes;Robert Altman|David Lynch;;;;;;
Doug Nichol;Michelangelo Antonioni|Mike Nichols;Bob Rafelson|Peter Bogdanovich;Akira Kurosawa|Ingmar Bergman;Wim Wenders;François Truffaut|Albert Lamorisse;Stanley Kramer;Federico Fellini;Vittorio De Sica;Les Blank|Errol Morris|Errol Morris;Monte Hellman;;;;;;
Connor Jessup;Hirokazu Kore-eda;Edward Yang|Edward Yang;Abbas Kiarostami;Preston Sturges;Yasujiro Ozu;Yasujiro Ozu;Yasujiro Ozu;Akira Kurosawa;Luc Dardenne and Jean-Pierre Dardenne;Apichatpong Weerasethakul;Kaneto Shindo;Kirsten Johnson;;;;
Stephen Cone;John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes;Terence Davies;Claude Lanzmann;David Lynch;Jean Renoir;James L. Brooks;Terrence Malick|Terrence Malick|Terrence Malick;Carl Th. Dreyer|Carl Th. Dreyer|Carl Th. Dreyer;David Fincher;Abbas Kiarostami|Arnaud Desplechin|Jonathan Demme|John Ford|Chantal Akerman;;;;;;
Tracy Letts;Edward Cline;Ingmar Bergman;Federico Fellini;Peter Yates;Charles Chaplin;Peter Bogdanovich;Nagisa Oshima;Michelangelo Antonioni;Howard Hawks;Roman Polanski;;;;;;
Sebastián Lelio;John Cassavetes;Louis Malle;Wim Wenders;Federico Fellini;Michelangelo Antonioni;Carlos Saura;François Truffaut;Ingmar Bergman;Lars von Trier;Andrei Tarkovsky;;;;;;
Barry Levinson;Federico Fellini;David Lean;Carol Reed;Stanley Kubrick;David Maysles, Albert Maysles, and Charlotte Zwerin;Federico Fellini;John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes|John Cassavetes;Billy Wilder;Jean-Luc Godard;Alexander Mackendrick;;;;;;
Christopher Radcliff and Lauren Wolkstein;Juzo Itami|Wim Wenders;Peter Weir|Krzysztof Kieślowski;Hirokazu Kore-eda|Agnès Varda;Edward Yang|Andrei Tarkovsky;Akira Kurosawa|Olivier Assayas;Steve James|Michelangelo Antonioni;Nagisa Oshima|Nagisa Oshima|Abbas Kiarostami;Jonathan Demme|David Lynch;Catherine Breillat|Robert Altman|Robert Altman|Robert Altman;Francis Ford Coppola|Ingmar Bergman|Lodge Kerrigan;;;;;;
Ruben Östlund;Volker Schlöndorff;Paolo Sorrentino;Catherine Breillat;Luis Buñuel;Jacques Tati;Rainer Werner Fassbinder;Vittorio De Sica;Stanley Kubrick;Lars von Trier;Michael Haneke;;;;;;
Jessica Morgan;James Ivory;James L. Brooks;Wes Anderson;Spike Jonze;Steve James;Jonathan Demme;Whit Stillman;John Hughes;Ang Lee;Alexander Payne;;;;;;
Aaron Katz's Top 10 ;Yasujiro Ozu;Ingmar Bergman;Whit Stillman;Krzysztof Kieślowski;Jacques Tati;Jean-Pierre Melville;Chantal Akerman;Edward Cline;John Woo;David Lean;;;;;;
Jonas Carpignano;Luchino Visconti;Roberto Rossellini;Robert Altman;John Cassavetes;Jean-Pierre Melville|Gillo Pontecorvo;Federico Fellini;Abdellatif Kechiche|Andrea Arnold;Pier Paolo Pasolini;Francesco Rosi;Spike Lee;;;;;;
Sloane Crosley;Stanley Kubrick;Ingmar Bergman;Michael Powell and Emeric Pressburger;Spike Lee;James L. Brooks|Sydney Pollack|Alexander Mackendrick;Richard Linklater|Whit Stillman|Whit Stillman|Noah Baumbach;Hal Ashby;John Cassavetes;Terrence Malick;Rob Reiner;;;;;;
Ari Aster;Ingmar Bergman|Ingmar Bergman|Ingmar Bergman;Kenji Mizoguchi|Kenji Mizoguchi|Kenji Mizoguchi;Martin Scorsese|Andrew Haigh;Federico Fellini;Mike Leigh|Mike Leigh;Michael Powell and Emeric Pressburger|Michael Powell and Emeric Pressburger|Michael Powell and Emeric Pressburger|Michael Powell and Emeric Pressburger|Michael Powell and Emeric Pressburger;Edward Yang|Edward Yang;Michael Haneke;Roman Polanski|Roman Polanski|Roman Polanski|Roman Polanski;Satyajit Ray|Satyajit Ray|Satyajit Ray;;;;;;
David and Nathan Zellner;Carl Th. Dreyer|Terry Gilliam;Martin Rosen|John Lurie;Paul Verhoeven|Akira Kurosawa;Kaneto Shindo|Monte Hellman;Chantal Akerman|Jack Nicholson;Mike Leigh|Samuel Fuller;Satyajit Ray|Robert Altman;Les Blank|Bob Fosse;Pier Paolo Pasolini|Carroll Ballard;Ken Loach|Jim Jarmusch;;;;;;
Alan Rudolph;Ingmar Bergman;Federico Fellini;Stanley Kubrick;Marcel Carné;Luis Buñuel;Akira Kurosawa;Jacques Tati;Robert Altman;François Truffaut;Víctor Erice;;;;;;
Jeremiah Zagar;Lynne Ramsay;Ken Loach;Guillermo del Toro;Volker Schlöndorff;Neil Jordan;Terry Gilliam;Terry Zwigoff;Mikhail Kalatozov;Ronald Neame;Alfonso Cuarón;;;;;;
Hari Nef;David Lynch;Lena Dunham;Olivier Assayas;Andrea Arnold;Eric Rohmer;Todd Haynes;David Lynch;Rainer Werner Fassbinder;Nobuhiko Obayashi;Pier Paolo Pasolini;;;;;;
John Grant;Wim Wenders;Roman Polanski;David Cronenberg;Rainer Werner Fassbinder;Rob Reiner;Hal Ashby;Guillermo del Toro;Sydney Pollack;Herk Harvey;Lars von Trier;;;;;;
Steven Yeun;Yasujiro Ozu|Yasujiro Ozu;Hirokazu Kore-eda;Lee Chang-dong;Wong Kar Wai;Wes Anderson;Rob Reiner;Paul Thomas Anderson;David Lynch|Spike Jonze;Paul Verhoeven;Steve James;;;;;;
Ali Abbasi;Pier Paolo Pasolini;David Lean;Andrei Tarkovsky;Alain Resnais;Federico Fellini;David Cronenberg;Luis Buñuel|Luis Buñuel;Abbas Kiarostami;David Lynch;Sergei Parajanov;;;;;;
Alice Rohrwacher;Luis Buñuel|Luis Buñuel;Roberto Rossellini;Jean-Luc Godard;Pier Paolo Pasolini;Aki Kaurismäki;Agnès Varda;John Cassavetes;Lucrecia Martel;Ermanno Olmi;Jane Campion;;;;;;
\u200bJon Dieringer;Susan Seidelman;Felipe Cazals;Alex Cox;Paul Bartel;David Lynch;Charles Laughton;Víctor Erice;;Larisa Shepitko;Rainer Werner Fassbinder;;;;;;
Paweł Pawlikowski;Richard Lester;Billy Wilder;Andrzej Wajda;Terrence Malick|Terrence Malick;Miloš Forman;Jean-Luc Godard|Jean-Luc Godard;Maurice Pialat;Andrei Tarkovsky;Federico Fellini|Federico Fellini|Federico Fellini;David Lynch;;;;;;
Karyn Kusama;John Cassavetes|Chantal Akerman;Roman Polanski|Jack Clayton;Ingmar Bergman|Todd Haynes;Akira Kurosawa|Brian De Palma;Robert Altman|Bob Fosse;James L. Brooks|Jonathan Demme;Stanley Kubrick|John Waters;Nicolas Roeg|Mike Leigh;Edward Yang|Shohei Imamura;Bob Rafelson|Jane Campion;;;;;;
Raúl Castillo;John Cassavetes;Alfonso Cuarón;Andrew Haigh;Akira Kurosawa;Lynne Ramsay;Spike Lee;Wong Kar Wai;George A. Romero;Gus Van Sant;Luis Buñuel;;;;;;
Christophe Honoré;Jean-Luc Godard;Orson Welles;Wong Kar Wai;Jacques Demy;François Truffaut;Pier Paolo Pasolini;Leo McCarey;Gus Van Sant;Jim Jarmusch;Edward Yang;;;;;;
Lev Kalman;Paul Morrissey;John Waters;John Cassavetes;Erle C. Kenton;Preston Sturges;Jean Painlevé;Wim Wenders;David Lynch;Whit Stillman;Eric Rohmer;;;;;;
Michael Imperioli;John Cassavetes;John Cassavetes;John Cassavetes;Arthur Hiller;Rainer Werner Fassbinder;Pier Paolo Pasolini;Spike Lee;John Schlesinger;Terry Gilliam;Jules Dassin;;;;;;
Beak>;Susan Seidelman;Andrei Tarkovsky;David Cronenberg;Ingmar Bergman;Tony Richardson;Nicolas Roeg;Terry Gilliam;Martin Rosen;Sidney Lumet;John Mackenzie;;;;;;
David Hudson;John Cassavetes;Fritz Lang;Jean-Luc Godard;Rainer Werner Fassbinder;Edward Yang;Les Blank;Chris Marker;David Cronenberg;Ingmar Bergman;Eric Rohmer;;;;;;
Brian Raftery;Alex Cox;John Huston;Bob Fosse|Bob Rafelson;Carol Reed;Susan Seidelman;Spike Lee;Wim Wenders;Alexander Payne|Spike Jonze;Steve James;Elaine May;;;;;;
Jeremy Workman;Mikhail Kalatozov;Max Ophuls;Errol Morris;Allen Baron;Gillo Pontecorvo;Charles Laughton;Götz Spielmann;Sidney Gilliat;Roman Polanski;Godfrey Reggio;;;;;;
Dennis Lim;Jean Rouch and Edgar Morin|Abbas Kiarostami;John Cassavetes|Paul Thomas Anderson;Hollis Frampton|Chantal Akerman;Luis Buñuel|Lucrecia Martel;Nagisa Oshima|Rainer Werner Fassbinder;Yasujiro Ozu|Pedro Costa;Nicholas Ray|David Lynch;Michelangelo Antonioni|Todd Haynes;William Greaves|Steven Soderbergh;Barbara Loden|Agnès Varda;;;;;;
Carlos Reygadas;Paul Verhoeven;Luis Buñuel;Jacques Tati;Carl Th. Dreyer;Maurice Pialat;Jean-Pierre Melville|Jean-Pierre Melville;Louis Malle;Bob Rafelson;Brian De Palma;Bruno Dumont|Bruno Dumont;;;;;;
Jack Reynor;Kenji Mizoguchi;Masaki Kobayashi;Nagisa Oshima;Michael Powell;Stanley Kubrick;Roman Polanski;Ingmar Bergman;Ken Russell;Andrei Tarkovsky;George Sluizer;;;;;;
Kasi Lemmons;Joseph L. Mankiewicz;Bob Fosse;Marcel Camus;Nicolas Roeg;Spike Lee;Andrea Arnold;Mike Nichols;Hal Ashby;Roman Polanski;Costa-Gavras;;;;;;
Karim Aïnouz;Barbara Loden;Chantal Akerman|John Cassavetes;Michael Haneke;Rainer Werner Fassbinder;Douglas Sirk|Douglas Sirk;Andrei Tarkovsky;Gillo Pontecorvo;Terrence Malick;Russ Meyer;Pier Paolo Pasolini;;;;;;
Rian Johnson;Federico Fellini;Terry Gilliam;Orson Welles;Federico Fellini;Ingmar Bergman;Jacques Tati;Ingmar Bergman;Carol Reed;Akira Kurosawa;Jim Jarmusch;;;;;;
Kelly Reichardt;Ousmane Sembène;Robert Bresson;Satyajit Ray;Jacques Tati;Les Blank;Todd Haynes;Tony Richardson;Kenji Mizoguchi;Nicolas Roeg;Barbara Loden;;;;;;
Rashaad Ernesto Green;Albert Lamorisse;Spike Lee;Gillo Pontecorvo;Marcel Camus;Satyajit Ray;Yasujiro Ozu;Akira Kurosawa;John Schlesinger;Robert Bresson;Andrea Arnold;;;;;;
Kleber Mendonça Filho;Nicholas Ray;Lucrecia Martel;Michael Cimino;Marlon Brando;John Woo;František Vláčil;Monte Hellman;Paul Thomas Anderson;Lee Chang-dong;Mário Peixoto;;;;;;
Sofia Bohdanowicz and Deragh Campbell;Roberto Rossellini;Yasujiro Ozu;John Cassavetes;Djibril Diop Mambéty;Abbas Kiarostami;Agnès Varda;Jean-Luc Godard;Chris Marker;Chantal Akerman;Eric Rohmer;;;;;;
Josephine Decker;Ingmar Bergman;Jean-Luc Godard|Lars von Trier;Spike Jonze;Chantal Akerman|Céline Sciamma;Hal Ashby;Luc Dardenne and Jean-Pierre Dardenne;Miranda July|Andrea Arnold;Guillermo del Toro;David Lynch|Jean-Luc Godard;Martin Scorsese|François Truffaut;;;;;;
The Ross Brothers’ Top 10;Djibril Diop Mambéty;Robert Altman;Les Blank;Agnès Varda;Krzysztof Kieślowski;Barbara Loden;Michelangelo Antonioni;John Cassavetes|Martin Scorsese;Federico Fellini;Wim Wenders|Gus Van Sant;;;;;;
Amy Seimetz;Barbara Loden;Jacques Demy;René Clément;Agnès Varda;Chantal Akerman;Wim Wenders|Wim Wenders;René Laloux;Nicolas Roeg|Nicolas Roeg;Jean-Luc Godard|Luis Buñuel;Terrence Malick|Monte Hellman;;;;;;
Isabel Sandoval;Chris Marker;Hiroshi Teshigahara;Wong Kar Wai;Alan J. Pakula;Lino Brocka;Alain Resnais;Paul Thomas Anderson;Chantal Akerman;Mikhail Kalatozov;Satyajit Ray;;;;;;
Pietro Marcello;Jean Vigo;Vittorio De Sica;Roberto Rossellini;Jacques Tati;Satyajit Ray;Agnès Varda;Jacques Demy;Ermanno Olmi;Larisa Shepitko;Elem Klimov;;;;;;
Carrie Coon;Mike Leigh;Ousmane Sembène;Paul Mazursky;Krzysztof Kieślowski;Juraj Herz;Terrence Malick;Wong Kar Wai;Nagisa Oshima;Céline Sciamma;John Cassavetes;;;;;;
Frank Kozik;Barbet Schroeder;Peter Weir;Wes Anderson;Samuel Fuller;David Lean;Terry Gilliam;Nicolas Roeg;Terry Gilliam;Les Blank;Peter Brook;;;;;;
Lili Horvát;François Truffaut;Ingmar Bergman;Chantal Akerman;Rainer Werner Fassbinder;David Lynch;Nicolas Roeg;John Cassavetes;Howard Hawks;Wim Wenders;Michelangelo Antonioni;;;;;;
Azazel Jacobs;Aki Kaurismäki;Ernst Lubitsch;Jacques Tati;Federico Fellini;Samuel Fuller;Hal Ashby|Hal Ashby;John Hughes;Luis Buñuel|Luis Buñuel;Charles Laughton;Stan Brakhage;;;;;;
Rachel Kushner;Robert Altman;Barbara Loden;Monte Hellman;Michael Ritchie;Michelangelo Antonioni;Ousmane Sembène;Alain Resnais;Jean-Pierre Melville;Pier Paolo Pasolini;Paul Schrader;;;;;;
Dustin O’Halloran;Federico Fellini;Jean-Luc Godard;Stanley Kubrick;Luis Buñuel;Michelangelo Antonioni;Wim Wenders;Wong Kar Wai;David Lynch;Andrei Tarkovsky;Jean-Jacques Beineix;;;;;;
Edson Oda;Charles Chaplin;Akira Kurosawa;Stanley Kubrick;Ingmar Bergman;Wim Wenders;Paul Verhoeven;Spike Jonze;Steve McQueen;Jackie Chan;Sofia Coppola;;;;;;
Neil LaBute;David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer|David Maysles, Albert Maysles, and Charlotte Zwerin;Miloš Forman;Ingmar Bergman;Yasujiro Ozu|Yasujiro Ozu;Federico Fellini;Georges Franju;Pier Paolo Pasolini;Jean-Luc Godard;Michael Powell and Emeric Pressburger;Robert Hamer;;;;;;
Dash Shaw;Pedro Almodóvar;Jacques Rivette;Yoshimitsu Banno;Jean-Luc Godard;Jean-Luc Godard;David Cronenberg;René Laloux;Chantal Akerman;Jacques Tati;Guy Maddin;;;;;;
Wendell B. Harris Jr.;Dudley Murphy;Orson Welles;Peter Medak;Stanley Kubrick;Daniel Petrie;Hal Ashby;Akira Kurosawa;Marcel Carné;Carol Reed;Edmund Goulding;;;;;;
Pablo Larraín;Stanley Kubrick;John Cassavetes;Claire Denis;Luis Buñuel;Louis Malle;Wim Wenders;Ingmar Bergman;Michelangelo Antonioni;Abbas Kiarostami;Pier Paolo Pasolini;;;;;;
Ryusuke Hamaguchi;Jean Renoir;Jean Grémillon;Jacques Becker;Roberto Rossellini;Douglas Sirk;Kenji Mizoguchi;Mikio Naruse;Josef von Sternberg;George Cukor;Hou Hsiao-hsien;;;;;;
Sebastian Meise;Lars von Trier;Wong Kar Wai;Carlos Saura;Mike Leigh;David Lynch;Stan Brakhage;Jim Jarmusch;Michelangelo Antonioni;Michael Haneke;Pier Paolo Pasolini;;;;;;
Blerta Basholli;Andrei Tarkovsky;Luc Dardenne and Jean-Pierre Dardenne;François Truffaut;Ken Loach;Wong Kar Wai;Lars von Trier;Pedro Almodóvar;David Lynch;Cristian Mungiu;Wim Wenders;;;;;;
Joel Potrykus;Jim Jarmusch;Michael Haneke;Lindsay Anderson;Various;Luis Buñuel;Paul Verhoeven;Russ Meyer;Akira Kurosawa;Bruce Robinson;Richard Linklater;;;;;;
Christa Lang-Fuller;Marcel Carné;Jean Renoir;Luis Buñuel;Robert Bresson;Volker Schlöndorff;Rainer Werner Fassbinder;Jean-Luc Godard;Jean-Luc Godard;Fritz Lang;Samuel Fuller|Samuel Fuller;;;;;;
Dennis Lehane;Neil Jordan;Peter Weir;Jean Renoir;Preston Sturges;Erik Skjoldbjærg;Jules Dassin;Fritz Lang;Henri-Georges Clouzot;Spike Lee;Wes Anderson|Wes Anderson;;;;;;
Heidi Bivens;Terrence Malick;Krzysztof Kieślowski;David Lynch;Stanley Kubrick;Agnès Varda;Mathieu Kassovitz;Terry Gilliam;William Wyler;Robert Altman;Gus Van Sant;;;;;;
Richard Linklater;Andrei Tarkovsky;Robert Bresson;Roberto Rossellini;Carl Th. Dreyer;Yasujiro Ozu;Martin Scorsese;Preston Sturges;Ingmar Bergman;Robert Bresson;Michael Powell and Emeric Pressburger;;;;;;
John Lurie;John Cassavetes;Martin Scorsese;Mike Leigh;Les Blank;Rainer Werner Fassbinder;John Lurie;Samuel Fuller;John Cassavetes;Shohei Imamura;Henri-Georges Clouzot;;;;;;
Kevin Macdonald;David Maysles, Albert Maysles, and Charlotte Zwerin;Michael Powell and Emeric Pressburger;Louis Malle;Preston Sturges;Henri-Georges Clouzot;Orson Welles;Nicolas Roeg;Ingmar Bergman;Gillo Pontecorvo;Federico Fellini;;;;;;
Guy Maddin;René Clément;Carl Th. Dreyer;Vittorio De Sica;David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer;G. W. Pabst;Federico Fellini;Sergei Eisenstein;Michael Powell and Emeric Pressburger;Douglas Sirk;Benjamin Christensen;;;;;;
David Markey;Herk Harvey;Richard Linklater;D. A. Pennebaker;David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer;Robert Altman;Terry Gilliam;John Cassavetes;Rob Reiner;Terry Gilliam;Douglas Sirk;;;;;;
Patton Oswalt;John Woo;David Gordon Green;Federico Fellini;Samuel Fuller;Allen Baron;Michael Powell and Emeric Pressburger;David Maysles, Albert Maysles, and Charlotte Zwerin;Leonard Kastle;Richard Linklater;Víctor Erice;;;;;;
D. A. Pennebaker;Alfred Hitchcock;Robert Flaherty;Michael Powell and Emeric Pressburger;René Clair;Michael Powell and Emeric Pressburger;Marcel Carné;René Clair;Ronald Neame;Michael Powell and Emeric Pressburger;Federico Fellini;François Truffaut;Jean-Luc Godard;;;;
Bill Plympton;Rob Reiner;Billy Wilder;Terry Gilliam;Carol Reed;Ronald Neame;Henri-Georges Clouzot;Edward Cline;Jean Cocteau;Rémy Belvaux, André Bonzel, and Benoit Poelvoorde;Jacques Tati;;;;;;
Nicolas Roeg;Michelangelo Antonioni;Luis Buñuel;Jean Cocteau;Ingmar Bergman;Federico Fellini;Marcel Carné;Steven Soderbergh;Jean-Luc Godard;Sam Peckinpah;Luchino Visconti;;;;;;
Tom Schnabel;Ernst Lubitsch;Federico Fellini;Marcel Carné;Jacques Tati;Luis Buñuel;Henri-Georges Clouzot;Hiroshi Teshigahara;Kon Ichikawa;Preston Sturges;Roger Vadim;;;;;;
David Schwartz;Jean Renoir;Yasujiro Ozu;David Cronenberg;Stan Brakhage;Douglas Sirk;Edward Cline;Ernst Lubitsch;Eric Rohmer;Wes Anderson;Agnès Varda;;;;;;
Leanne Shapton;Bruce Robinson;Jean Renoir;Roy Ward Baker;Mike Leigh;Michelangelo Antonioni;Jean-Luc Godard;Pier Paolo Pasolini;Robert Altman;Alfred Hitchcock;Lasse Hallström;;;;;;
Paul Schrader;Víctor Erice;Larisa Shepitko;Juan Antonio Bardem;Hiroshi Teshigahara;Anthony Mann;Mikio Naruse;Gus Van Sant;Rainer Werner Fassbinder;Francesco Rosi;Kenji Mizoguchi;;;;;;
Robin Wood;Kenji Mizoguchi;Jacques Tati;Orson Welles;Akira Kurosawa;Samuel Fuller;Preston Sturges;Yasujiro Ozu;Michael Powell and Emeric Pressburger;Jean-Luc Godard;Alfred Hitchcock;;;;;;
Adam Yauch;Akira Kurosawa;Nicolas Roeg;Federico Fellini;Akira Kurosawa;Akira Kurosawa;Wes Anderson;Roger Vadim;Perry Henzell;Akira Kurosawa;Wes Anderson;;;;;;
Ricky Jay;Alfred Hitchcock;Marcel Carné;Orson Welles;Akira Kurosawa;Preston Sturges;Robert Altman;David Lean;Hiroshi Inagaki;Michael Powell and Emeric Pressburger;Jules Dassin;;;;;;
Chris Hegedus;Federico Fellini;Federico Fellini;Jean-Luc Godard;Ingmar Bergman;Gillo Pontecorvo;Preston Sturges;Michael Powell and Emeric Pressburger;François Truffaut;D. A. Pennebaker;David Maysles, Albert Maysles, and Charlotte Zwerin;;;;;;
Dave Filipi;Jean-Pierre Melville;Robert Bresson;Richard Linklater;Arthur Crabtree;Roberto Rossellini;Andrei Tarkovsky;Chris Marker;Jacques Tati;Byron Haskin;Philip Kaufman;;;;;;
Monte Hellman;Víctor Erice;Krzysztof Kieślowski;Alfred Hitchcock;Jean-Pierre Melville;Preston Sturges;Carol Reed|Carol Reed;Marcel Carné|Marcel Carné;Jean Renoir;Ingmar Bergman;Federico Fellini|Federico Fellini|Federico Fellini|Federico Fellini;;;;;;
Paul Morrissey;Laurence Olivier;Carol Reed;Luchino Visconti;Ludwig Berger, Michael Powell, and Tim Whelan;Federico Fellini;Josef von Sternberg;Max Ophuls;David Lean;John Huston;Edward Cline;;;;;;
James Franco;Víctor Erice;Louis Malle|Louis Malle;Gus Van Sant|Gus Van Sant;John Cassavetes;John Cassavetes;Gillo Pontecorvo;David Maysles, Albert Maysles, and Charlotte Zwerin|David Maysles, Albert Maysles, and Charlotte Zwerin;Michelangelo Antonioni|Michelangelo Antonioni;Ermanno Olmi;Robert Altman|Robert Altman;;;;;;
Jaime Hernandez;Vittorio De Sica;Marcel Camus;Jack Woods;Lasse Hallström;Federico Fellini;Samuel Fuller;Akira Kurosawa;Jim Jarmusch;Ludwig Berger, Michael Powell, and Tim Whelan;Henri-Georges Clouzot;;;;;;
Götz Spielmann;Federico Fellini;Andrei Tarkovsky;Yasujiro Ozu;Michelangelo Antonioni;Milcho Manchevski;John Cassavetes;Andrzej Wajda;Jane Campion;Jean-Pierre Melville;Chris Marker;;;;;;
Joe Swanberg;Steve James;Stan Brakhage;Michael Powell and Emeric Pressburger;David Maysles, Albert Maysles, and Charlotte Zwerin;Perry Henzell;Monte Hellman;Sam Peckinpah;Maurice Pialat;Krzysztof Kieślowski;John Lurie;;;;;;
Al Reinert;Richard Linklater;Alex Cox;Jules Dassin;Marcel Camus;Terry Gilliam;Preston Sturges;Terrence Malick;Andrei Tarkovsky;Byron Haskin;D. A. Pennebaker;;;;;;
Nathan Lee;David Cronenberg;David Cronenberg;David Cronenberg;Chantal Akerman;Stan Brakhage;Fritz Lang;Jean-Luc Godard;Paul Verhoeven;Max Ophuls;Jean Painlevé;;;;;;
Whit Stillman;François Truffaut;Alfred Hitchcock;Perry Henzell;Ingmar Bergman;Preston Sturges;Mario Monicelli;Gregory La Cava;Marcel Camus;Alfred Hitchcock;Marcel Carné;;;;;;
Caitlin Kuhwald;D. A. Pennebaker;David Maysles, Albert Maysles, and Charlotte Zwerin;Ingmar Bergman;Akira Kurosawa;Akira Kurosawa;Wong Kar Wai;Carol Reed;Wes Anderson;Stanley Donen;Carl Th. Dreyer;;;;;;
Sonic Youth;Yasujiro Ozu;Chantal Akerman;Rainer Werner Fassbinder;Jean-Luc Godard;Masahiro Shinoda;George Sluizer;Pier Paolo Pasolini;Marcel Camus;Billy Wilder;Jim Jarmusch;Catherine Breillat;Terrence Malick;;;;
Joe Mantegna;Jules Dassin;Cornel Wilde;Peter Yates;;Federico Fellini;Peter Medak;Stanley Kubrick;Jules Dassin;Bernardo Bertolucci;David Mamet;;;;;;
Michael Atkinson;Carl Th. Dreyer;Monte Hellman;Jean-Luc Godard;Yasujiro Ozu;Luis Buñuel|Luis Buñuel;David Cronenberg;Gus Van Sant;Abbas Kiarostami;Jean Renoir;René Clair;;;;;;
Pedro Costa;Jean Renoir;Jacques Tati;Yasujiro Ozu;Mikio Naruse;Luis Buñuel;Ernst Lubitsch;Alfred Hitchcock;John Ford;Carl Th. Dreyer;Robert Bresson;;;;;;
Seth;Alain Resnais;William Mason;Yasujiro Ozu;Whit Stillman;Federico Fellini;George Sluizer;Anthony Asquith;Jack Woods;Ingmar Bergman;Ronald Neame;;;;;;
Iron and Wine;Terry Gilliam;Akira Kurosawa;Carol Reed;Jim Jarmusch;Stan Brakhage;Federico Fellini;Gillo Pontecorvo;John Cassavetes;Les Blank;Mike Leigh;;;;;;
Johnnie To;Akira Kurosawa;Akira Kurosawa;Sam Peckinpah;Masaki Kobayashi;Jean-Pierre Melville;Jean-Pierre Melville;Wong Kar Wai;Terry Gilliam;Bernardo Bertolucci;Akira Kurosawa;;;;;;
Frederick Elmes;Ingmar Bergman;Federico Fellini;Roman Polanski;Stan Brakhage;Louis Malle;Eric Rohmer;Herk Harvey;Jacques Tati;Peter Weir;Wong Kar Wai;;;;;;
